ComponentName,Project,CBO,CYCLO,DIT,ELOC,FanIn,FanOut,LCOM,LOC,LOCNAMM,NOA,NOC,NOM,NOMNAMM,NOPA,PMMM,PRB,WLOCNAMM,WMC,WMCNAMM,NMNOPARAM,CDSBP,CC,LC,LZC,RB,SC
org.elasticsearch.river.RiversModule,elasticsearch-v0.19.0,8,3,2,25,1,7,0,25,25,2,0,3,3,0,0.333333333,0,6.333333333,3,0,1,0,0,0,0,0,0
org.elasticsearch.river.RiversPluginsModule,elasticsearch-v0.19.0,5,3,2,16,1,1,1,16,16,2,0,3,3,0,0.333333333,0,3,3,0,1,0,0,0,0,0,0
org.elasticsearch.river.RiversService,elasticsearch-v0.19.0,34,20,2,184,3,51,9,184,184,8,0,7,7,0,0,0,15.57142857,20,0,4,0,0,0,0,0,0
org.elasticsearch.river.RiversTypesRegistry,elasticsearch-v0.19.0,2,3,1,12,6,1,0,12,12,1,0,2,2,0,0.5,0,3,3,0,0,0,0,0,0,0,0
org.elasticsearch.river.cluster.PublishRiverClusterStateAction,elasticsearch-v0.19.0,12,7,2,64,3,11,0,64,64,3,0,4,4,0,0.75,0,7.5,7,0,1,0,0,0,0,0,0
org.elasticsearch.river.cluster.RiverClusterChangedEvent,elasticsearch-v0.19.0,0,7,1,24,4,0,0,24,24,3,0,4,4,0,0,0,4.25,7,0,3,0,0,0,0,0,0
org.elasticsearch.river.cluster.RiverClusterService,elasticsearch-v0.19.0,13,22,2,101,6,36,6,101,101,5,0,8,8,0,0.25,0,15.25,22,0,4,0,0,0,0,0,0
org.elasticsearch.river.cluster.RiverClusterState,elasticsearch-v0.19.0,4,8,1,52,42,1,0,52,52,2,0,5,5,0,0.2,0,3.4,8,0,3,0,0,0,0,0,0
org.elasticsearch.river.cluster.RiverClusterStateListener,elasticsearch-v0.19.0,0,1,1,5,6,0,0,5,5,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
org.elasticsearch.river.cluster.RiverClusterStateUpdateTask,elasticsearch-v0.19.0,0,1,1,5,3,0,0,5,5,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
org.elasticsearch.river.cluster.RiverNodeHelper,elasticsearch-v0.19.0,2,6,1,24,3,10,1,24,24,0,0,2,2,0,0,0,10,6,0,0,0,0,0,0,0,0
org.elasticsearch.river.dummy.DummyRiver,elasticsearch-v0.19.0,5,3,2,14,2,3,3,14,14,0,0,3,3,0,1,0,3.333333333,3,0,2,0,0,0,0,0,0
org.elasticsearch.river.dummy.DummyRiverModule,elasticsearch-v0.19.0,2,1,2,7,0,3,0,7,7,0,0,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0
org.elasticsearch.river.routing.RiverRouting,elasticsearch-v0.19.0,6,18,1,46,24,9,2,46,46,2,0,8,8,0,0.125,0,5,18,0,3,0,0,0,0,0,0
org.elasticsearch.river.routing.RiversRouter,elasticsearch-v0.19.0,27,21,2,120,3,84,9,120,120,3,0,6,6,0,0,0,34.16666667,21,0,3,0,0,0,0,0,0
org.elasticsearch.river.routing.RiversRouting,elasticsearch-v0.19.0,7,13,1,73,12,7,0,73,73,2,0,6,6,1,0.333333333,0,3.833333333,13,0,3,0,0,0,0,0,0
org.elasticsearch.script.AbstractDoubleSearchScript,elasticsearch-v0.19.0,0,7,2,15,2,3,6,15,15,0,0,4,4,0,0.75,0,2.5,7,0,4,0,0,0,0,0,0
org.elasticsearch.script.AbstractExecutableScript,elasticsearch-v0.19.0,0,3,1,7,3,0,1,7,7,0,1,2,2,0,0,0,2.5,3,0,0,0,0,0,0,0,0
org.elasticsearch.script.AbstractFloatSearchScript,elasticsearch-v0.19.0,0,7,2,15,3,3,6,15,15,0,0,4,4,0,0.75,0,2.5,7,0,4,0,0,0,0,0,0
org.elasticsearch.script.AbstractLongSearchScript,elasticsearch-v0.19.0,0,7,2,15,2,3,6,15,15,0,0,4,4,0,0.75,0,2.5,7,0,4,0,0,0,0,0,0
org.elasticsearch.script.AbstractSearchScript,elasticsearch-v0.19.0,7,21,2,58,10,14,20,58,58,2,3,13,13,0,0.461538462,0,3.923076923,21,0,7,0,0,0,0,0,0
org.elasticsearch.script.CompiledScript,elasticsearch-v0.19.0,0,5,1,16,11,0,0,16,16,2,0,3,3,0,0,0,3.333333333,5,0,2,0,0,0,0,0,0
org.elasticsearch.script.ExecutableScript,elasticsearch-v0.19.0,0,4,1,14,22,0,3,14,14,0,0,3,3,0,0,0,3,4,0,1,0,0,0,0,0,0
org.elasticsearch.script.NativeScriptEngineService,elasticsearch-v0.19.0,8,18,2,41,1,7,34,41,41,1,0,9,9,0,0.333333333,0,3.888888889,18,0,3,0,0,0,0,0,0
org.elasticsearch.script.NativeScriptFactory,elasticsearch-v0.19.0,2,1,1,15,21,0,0,15,15,0,0,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0
org.elasticsearch.script.ScriptEngineService,elasticsearch-v0.19.0,3,8,1,12,22,0,28,12,12,0,0,8,8,0,0,0,1,8,0,3,0,0,0,0,0,0
org.elasticsearch.script.ScriptException,elasticsearch-v0.19.0,1,2,2,10,0,0,1,10,10,0,0,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0
org.elasticsearch.script.ScriptModule,elasticsearch-v0.19.0,10,8,2,42,9,14,0,42,42,3,0,4,4,0,0.5,0,8.75,8,0,1,0,0,0,0,0,0
org.elasticsearch.script.ScriptService,elasticsearch-v0.19.0,23,31,2,143,17,51,30,143,143,4,0,13,13,0,0.153846154,0,8.076923077,31,0,2,0,0,0,0,0,0
org.elasticsearch.script.SearchScript,elasticsearch-v0.19.0,3,8,1,13,115,0,28,13,13,0,0,8,8,0,0,0,1,8,0,3,0,0,0,0,0,0
org.elasticsearch.script.mvel.MvelScriptEngineService,elasticsearch-v0.19.0,20,18,2,114,2,8,34,114,114,1,0,9,9,0,0.222222222,0,4,18,0,3,0,0,0,0,0,0
org.elasticsearch.search.Scroll,elasticsearch-v0.19.0,6,14,1,39,370,5,3,39,39,1,0,6,6,0,0.166666667,0,5.5,14,0,2,0,0,0,0,0,0
org.elasticsearch.search.SearchContextException,elasticsearch-v0.19.0,1,6,2,27,4,14,3,27,27,0,4,3,3,0,0,0,7.666666667,6,0,0,0,0,0,0,0,0
org.elasticsearch.search.SearchContextMissingException,elasticsearch-v0.19.0,1,4,2,12,2,0,0,12,12,1,0,2,2,0,0,0,3.5,4,0,1,0,0,0,0,0,0
org.elasticsearch.search.SearchException,elasticsearch-v0.19.0,1,4,2,16,492,0,0,16,16,1,1,3,3,0,0,0,3.666666667,4,0,1,0,0,0,0,0,0
org.elasticsearch.search.SearchHit,elasticsearch-v0.19.0,6,33,1,118,245,0,378,118,118,0,0,28,28,0,0,0,4,33,0,27,0,0,0,0,0,0
org.elasticsearch.search.SearchHitField,elasticsearch-v0.19.0,2,6,1,30,67,0,15,30,30,0,0,6,6,0,0,0,4,6,0,6,0,0,0,0,0,0
org.elasticsearch.search.SearchHits,elasticsearch-v0.19.0,2,7,1,33,51,0,21,33,33,0,0,7,7,0,0,0,4,7,0,6,0,0,0,0,0,0
org.elasticsearch.search.SearchModule,elasticsearch-v0.19.0,16,3,2,21,5,3,1,21,21,0,0,2,2,0,0.5,0,8.5,3,0,2,0,0,0,0,0,0
org.elasticsearch.search.SearchParseElement,elasticsearch-v0.19.0,2,2,1,5,39,0,0,5,5,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0
org.elasticsearch.search.SearchParseException,elasticsearch-v0.19.0,2,4,2,13,52,0,3,13,13,0,0,3,3,0,0,0,3,4,0,1,0,0,0,0,0,0
org.elasticsearch.search.SearchPhase,elasticsearch-v0.19.0,3,5,1,10,60,0,3,10,10,0,0,3,3,0,0,0,2,5,0,1,0,0,0,0,0,0
org.elasticsearch.search.SearchPhaseResult,elasticsearch-v0.19.0,1,3,1,7,8,0,3,7,7,0,0,3,3,0,0,0,1,3,0,2,0,0,0,0,0,0
org.elasticsearch.search.SearchService,elasticsearch-v0.19.0,40,106,2,517,151,259,183,517,517,14,0,27,27,0,0.074074074,0,17.7037037,106,0,3,0,0,0,0,0,0
org.elasticsearch.search.SearchShardTarget,elasticsearch-v0.19.0,6,35,1,84,176,12,0,84,75,3,0,15,12,0,0.133333333,0,5.583333333,35,0,9,0,0,0,0,0,0
org.elasticsearch.search.TransportSearchModule,elasticsearch-v0.19.0,5,3,2,9,2,1,1,9,9,0,0,2,2,0,0.5,0,2.5,3,0,2,0,0,0,0,0,0
org.elasticsearch.search.action.SearchServiceListener,elasticsearch-v0.19.0,0,2,1,6,26,0,1,6,6,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0
org.elasticsearch.search.action.SearchServiceTransportAction,elasticsearch-v0.19.0,21,114,2,467,15,124,1194,467,467,4,0,52,52,0,0.326923077,0,8.173076923,114,0,20,0,0,0,0,0,0
org.elasticsearch.search.builder.SearchSourceBuilder,elasticsearch-v0.19.0,25,137,1,636,71,85,1076,636,636,26,0,49,49,0,0.142857143,0,11.34693878,137,0,7,0,0,0,0,0,0
org.elasticsearch.search.builder.SearchSourceBuilderException,elasticsearch-v0.19.0,1,2,2,10,25,0,1,10,10,0,0,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0
org.elasticsearch.search.controller.ScoreDocQueue,elasticsearch-v0.19.0,1,5,2,20,1,3,1,20,20,0,0,2,2,0,0.5,0,7.5,5,0,0,0,0,0,0,0,0
org.elasticsearch.search.controller.SearchPhaseController,elasticsearch-v0.19.0,31,26,2,256,21,62,11,256,256,4,0,7,7,1,0.142857143,0,35.14285714,26,0,1,0,0,0,0,0,0
org.elasticsearch.search.controller.ShardDoc,elasticsearch-v0.19.0,1,3,1,7,38,0,3,7,7,0,0,3,3,0,0,0,1,3,0,3,0,0,0,0,0,0
org.elasticsearch.search.controller.ShardFieldDoc,elasticsearch-v0.19.0,2,8,2,22,9,0,4,22,22,1,0,5,5,0,0,0,3.4,8,0,3,0,0,0,0,0,0
org.elasticsearch.search.controller.ShardScoreDoc,elasticsearch-v0.19.0,2,7,2,18,7,0,4,18,18,1,0,4,4,0,0,0,3.25,7,0,3,0,0,0,0,0,0
org.elasticsearch.search.count.CountSearchResult,elasticsearch-v0.19.0,6,13,1,34,0,4,8,34,34,3,0,8,8,0,0,0,3.25,13,0,4,0,0,0,0,0,0
org.elasticsearch.search.dfs.AggregatedDfs,elasticsearch-v0.19.0,9,15,1,41,16,16,3,41,41,2,0,7,7,0,0.142857143,0,5,15,0,3,0,0,0,0,0,0
org.elasticsearch.search.dfs.CachedDfSource,elasticsearch-v0.19.0,5,28,2,57,4,5,62,57,57,2,0,12,12,0,0.083333333,0,4.25,28,0,2,0,0,0,0,0,0
org.elasticsearch.search.dfs.DfsPhase,elasticsearch-v0.19.0,8,9,1,32,15,16,6,32,32,1,0,4,4,0,0.25,0,6.25,9,0,2,0,0,0,0,0,0
org.elasticsearch.search.dfs.DfsPhaseExecutionException,elasticsearch-v0.19.0,2,1,2,7,1,0,0,7,7,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
org.elasticsearch.search.dfs.DfsSearchResult,elasticsearch-v0.19.0,6,28,1,86,47,9,34,86,86,7,0,13,13,0,0.076923077,0,5.769230769,28,0,6,0,0,0,0,0,0
org.elasticsearch.search.facet.AbstractFacetBuilder,elasticsearch-v0.19.0,5,13,1,48,17,2,5,48,48,4,12,6,6,0,0,0,6.666666667,13,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.AbstractFacetCollector,elasticsearch-v0.19.0,8,21,2,42,45,6,28,42,39,3,42,9,8,0,0.111111111,0,4,21,0,2,0,0,0,0,0,0
org.elasticsearch.search.facet.Facet,elasticsearch-v0.19.0,0,4,1,21,2158,0,6,21,21,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetBinaryParseElement,elasticsearch-v0.19.0,4,3,2,18,2,5,1,18,18,0,0,2,2,0,0,0,7,3,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetBuilders,elasticsearch-v0.19.0,14,28,1,46,8,2,91,46,46,0,0,14,14,0,0.142857143,0,3,28,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetCollector,elasticsearch-v0.19.0,2,2,2,6,211,0,1,6,6,0,2,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetModule,elasticsearch-v0.19.0,13,4,2,28,3,8,0,28,28,1,0,3,3,0,0.333333333,0,7.666666667,4,0,2,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetParseElement,elasticsearch-v0.19.0,13,7,1,89,4,23,0,89,89,1,1,2,2,0,0,0,41.5,7,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetPhase,elasticsearch-v0.19.0,17,16,1,87,51,39,4,87,87,2,0,4,4,0,0.25,0,20.25,16,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetPhaseExecutionException,elasticsearch-v0.19.0,1,2,2,10,45,0,1,10,10,0,0,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetProcessor,elasticsearch-v0.19.0,4,4,1,7,56,0,3,7,7,0,0,3,3,0,0,0,1,4,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.FacetProcessors,elasticsearch-v0.19.0,4,4,1,17,6,5,0,17,17,1,0,2,2,0,0.5,0,6,4,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.Facets,elasticsearch-v0.19.0,2,7,1,25,84,0,10,25,25,0,0,5,5,0,0,0,4,7,0,3,0,0,0,0,0,0
org.elasticsearch.search.facet.InternalFacet,elasticsearch-v0.19.0,6,1,1,21,28,0,0,21,21,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.InternalFacets,elasticsearch-v0.19.0,14,33,1,97,9,25,14,97,97,2,0,12,12,0,0.25,0,7.333333333,33,0,5,0,0,0,0,0,0
org.elasticsearch.search.facet.OptimizeGlobalFacetCollector,elasticsearch-v0.19.0,2,2,1,3,4,0,0,3,3,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.SearchContextFacets,elasticsearch-v0.19.0,1,3,1,11,5,0,0,11,11,1,0,2,2,0,0,0,3,3,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.TransportFacetModule,elasticsearch-v0.19.0,10,1,2,15,1,1,0,15,15,0,0,1,1,0,0,0,11,1,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.CountDateHistogramFacetCollector,elasticsearch-v0.19.0,14,11,2,49,1,16,0,49,49,6,0,4,4,0,0.75,0,6.25,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.DateHistogramFacet,elasticsearch-v0.19.0,4,21,1,61,90,1,14,61,61,5,0,8,8,2,0,0,5.75,21,0,5,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.DateHistogramFacetBuilder,elasticsearch-v0.19.0,8,53,2,197,2,9,160,197,197,13,0,20,20,0,0.1,0,8.95,53,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.DateHistogramFacetProcessor,elasticsearch-v0.19.0,22,22,2,179,1,43,13,179,179,1,0,6,6,0,0,0,22.66666667,22,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.InternalCountDateHistogramFacet,elasticsearch-v0.19.0,12,45,2,187,2,59,97,187,187,7,0,19,19,0,0.368421053,0,6.052631579,45,0,12,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.InternalDateHistogramFacet,elasticsearch-v0.19.0,3,2,1,9,6,1,1,9,9,0,2,2,2,0,0.5,0,2.5,2,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.InternalFullDateHistogramFacet,elasticsearch-v0.19.0,9,44,2,232,10,51,69,232,232,7,0,18,18,0,0.444444444,0,8,44,0,11,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.ValueDateHistogramFacetCollector,elasticsearch-v0.19.0,15,11,2,77,1,16,0,77,77,8,0,4,4,0,0.5,0,7.75,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.datehistogram.ValueScriptDateHistogramFacetCollector,elasticsearch-v0.19.0,17,13,2,72,1,20,0,72,72,7,0,5,5,0,0.4,0,6,13,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.filter.FilterFacet,elasticsearch-v0.19.0,1,2,1,17,50,0,1,17,17,1,0,2,2,1,0,0,4,2,0,2,0,0,0,0,0,0
org.elasticsearch.search.facet.filter.FilterFacetBuilder,elasticsearch-v0.19.0,5,17,2,48,4,5,15,48,48,1,0,7,7,0,0,0,6.142857143,17,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.filter.FilterFacetCollector,elasticsearch-v0.19.0,10,11,2,35,1,11,0,35,35,3,0,5,5,0,0.2,0,5.6,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.filter.FilterFacetProcessor,elasticsearch-v0.19.0,11,10,2,25,1,7,6,25,25,0,0,4,4,0,0.25,0,5.25,10,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.filter.InternalFilterFacet,elasticsearch-v0.19.0,7,30,1,76,4,11,55,76,70,4,0,15,14,0,0.266666667,0,4,30,0,9,0,0,0,0,0,0
org.elasticsearch.search.facet.geodistance.GeoDistanceFacet,elasticsearch-v0.19.0,2,2,1,97,79,0,1,97,97,1,0,2,2,1,0,0,4,2,0,2,0,0,0,0,0,0
org.elasticsearch.search.facet.geodistance.GeoDistanceFacetBuilder,elasticsearch-v0.19.0,11,48,2,213,2,16,152,213,213,11,0,20,20,0,0.1,0,9.45,48,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.geodistance.GeoDistanceFacetCollector,elasticsearch-v0.19.0,12,11,2,76,9,16,0,76,76,10,2,4,4,0,0.5,0,8.5,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.geodistance.GeoDistanceFacetProcessor,elasticsearch-v0.19.0,18,15,2,168,1,23,6,168,168,0,0,4,4,0,0.25,0,41,15,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.geodistance.InternalGeoDistanceFacet,elasticsearch-v0.19.0,10,36,1,106,6,28,58,106,106,4,0,16,16,0,0.4375,0,5.25,36,0,10,0,0,0,0,0,0
org.elasticsearch.search.facet.geodistance.ScriptGeoDistanceFacetCollector,elasticsearch-v0.19.0,9,7,2,53,1,7,0,53,53,2,0,4,4,0,0.5,0,4.5,7,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.geodistance.ValueGeoDistanceFacetCollector,elasticsearch-v0.19.0,10,6,2,57,1,7,0,57,57,2,0,2,2,0,0.5,0,7,6,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.HistogramFacet,elasticsearch-v0.19.0,4,21,1,61,276,1,14,61,61,5,0,8,8,2,0,0,5.75,21,0,5,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.HistogramFacetBuilder,elasticsearch-v0.19.0,6,34,2,121,24,7,60,121,121,6,0,13,13,0,0,0,8.461538462,34,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.HistogramFacetProcessor,elasticsearch-v0.19.0,18,13,2,112,4,15,6,112,112,0,0,4,4,0,0.25,0,27,13,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.HistogramScriptFacetBuilder,elasticsearch-v0.19.0,7,35,2,120,2,7,75,120,120,9,0,14,14,0,0,0,7.642857143,35,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.InternalHistogramFacet,elasticsearch-v0.19.0,7,2,1,11,8,1,1,11,11,0,4,2,2,0,0.5,0,3.5,2,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.bounded.BoundedCountHistogramFacetCollector,elasticsearch-v0.19.0,13,11,2,62,1,15,0,62,62,6,0,4,4,0,0.5,0,8,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.bounded.BoundedValueHistogramFacetCollector,elasticsearch-v0.19.0,12,11,2,97,1,15,0,97,97,9,0,4,4,0,0.5,0,9.75,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.bounded.BoundedValueScriptHistogramFacetCollector,elasticsearch-v0.19.0,16,15,2,92,1,20,1,92,92,7,0,6,6,0,0.333333333,0,6.666666667,15,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.bounded.InternalBoundedCountHistogramFacet,elasticsearch-v0.19.0,12,45,2,198,2,37,87,198,198,10,0,19,19,0,0.368421053,0,6.473684211,45,0,12,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.bounded.InternalBoundedFullHistogramFacet,elasticsearch-v0.19.0,13,53,2,271,10,49,57,271,271,11,0,19,19,0,0.368421053,0,9.421052632,53,0,12,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.unbounded.CountHistogramFacetCollector,elasticsearch-v0.19.0,14,13,2,53,4,16,0,53,53,6,0,5,5,0,0.6,0,5.6,13,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.unbounded.FullHistogramFacetCollector,elasticsearch-v0.19.0,14,13,2,65,2,15,0,65,65,6,0,5,5,0,0.4,0,5.6,13,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.unbounded.InternalCountHistogramFacet,elasticsearch-v0.19.0,14,45,2,187,2,59,97,187,187,7,0,19,19,0,0.368421053,0,6.052631579,45,0,12,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.unbounded.InternalFullHistogramFacet,elasticsearch-v0.19.0,11,44,2,229,18,50,69,229,229,7,0,18,18,0,0.444444444,0,8,44,0,11,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.unbounded.ScriptHistogramFacetCollector,elasticsearch-v0.19.0,11,13,2,58,7,11,0,58,58,5,0,6,6,0,0.333333333,0,8.166666667,13,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.unbounded.ValueHistogramFacetCollector,elasticsearch-v0.19.0,13,11,2,79,4,15,0,79,79,9,0,4,4,0,0.5,0,8,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.histogram.unbounded.ValueScriptHistogramFacetCollector,elasticsearch-v0.19.0,17,15,2,75,4,20,1,75,75,7,0,6,6,0,0.333333333,0,5.5,15,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.query.InternalQueryFacet,elasticsearch-v0.19.0,7,30,1,76,4,11,55,76,70,4,0,15,14,0,0.266666667,0,4,30,0,9,0,0,0,0,0,0
org.elasticsearch.search.facet.query.QueryFacet,elasticsearch-v0.19.0,1,2,1,17,42,0,1,17,17,1,0,2,2,1,0,0,4,2,0,2,0,0,0,0,0,0
org.elasticsearch.search.facet.query.QueryFacetBuilder,elasticsearch-v0.19.0,6,17,2,48,4,5,19,48,48,1,0,7,7,0,0,0,6.142857143,17,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.query.QueryFacetCollector,elasticsearch-v0.19.0,11,17,2,64,1,15,0,64,64,4,0,6,6,0,0.166666667,0,9.333333333,17,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.query.QueryFacetProcessor,elasticsearch-v0.19.0,11,10,2,27,1,10,6,27,27,0,0,4,4,0,0.25,0,5.75,10,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.range.InternalRangeFacet,elasticsearch-v0.19.0,10,39,1,145,8,30,58,145,145,4,0,16,16,0,0.375,0,7.5625,39,0,10,0,0,0,0,0,0
org.elasticsearch.search.facet.range.KeyValueRangeFacetCollector,elasticsearch-v0.19.0,10,11,2,88,1,15,0,88,88,8,0,4,4,0,0.5,0,8.5,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.range.RangeFacet,elasticsearch-v0.19.0,2,2,1,108,76,0,1,108,108,1,0,2,2,1,0,0,4,2,0,2,0,0,0,0,0,0
org.elasticsearch.search.facet.range.RangeFacetBuilder,elasticsearch-v0.19.0,7,37,2,155,2,15,53,155,155,3,0,15,15,0,0.333333333,0,8.866666667,37,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.range.RangeFacetCollector,elasticsearch-v0.19.0,10,11,2,62,7,15,0,62,62,6,0,4,4,0,0.5,0,6.75,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.range.RangeFacetProcessor,elasticsearch-v0.19.0,14,16,2,140,1,17,6,140,140,0,0,4,4,0,0.25,0,34,16,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.range.RangeScriptFacetBuilder,elasticsearch-v0.19.0,9,30,2,129,2,13,58,129,129,5,0,13,13,0,0.153846154,0,8.615384615,30,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.range.ScriptRangeFacetCollector,elasticsearch-v0.19.0,8,12,2,43,1,9,0,43,43,3,0,5,5,0,0.4,0,7.2,12,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.statistical.InternalStatisticalFacet,elasticsearch-v0.19.0,7,59,1,142,8,31,246,142,142,8,0,29,29,0,0.413793103,0,4.034482759,59,0,23,0,0,0,0,0,0
org.elasticsearch.search.facet.statistical.ScriptStatisticalFacetCollector,elasticsearch-v0.19.0,8,10,2,36,1,7,0,36,36,6,0,5,5,0,0.4,0,5.2,10,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.statistical.StatisticalFacet,elasticsearch-v0.19.0,1,16,1,73,41,0,120,73,73,1,0,16,16,1,0,0,4,16,0,16,0,0,0,0,0,0
org.elasticsearch.search.facet.statistical.StatisticalFacetBuilder,elasticsearch-v0.19.0,5,21,2,67,2,4,24,67,67,2,0,8,8,0,0,0,7.625,21,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.statistical.StatisticalFacetCollector,elasticsearch-v0.19.0,10,11,2,68,4,20,0,68,68,5,0,4,4,0,0.5,0,5.5,11,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.statistical.StatisticalFacetProcessor,elasticsearch-v0.19.0,13,14,2,88,1,21,6,88,88,0,0,4,4,0,0.25,0,21,14,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.statistical.StatisticalFieldsFacetCollector,elasticsearch-v0.19.0,10,12,2,74,1,12,0,74,74,5,0,4,4,0,0.5,0,7,12,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.statistical.StatisticalScriptFacetBuilder,elasticsearch-v0.19.0,7,21,2,71,2,6,30,71,71,3,0,9,9,0,0,0,7.111111111,21,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.terms.InternalTermsFacet,elasticsearch-v0.19.0,11,2,1,15,12,1,1,15,15,0,8,2,2,0,0,0,5.5,2,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.terms.TermsFacet,elasticsearch-v0.19.0,4,25,1,97,429,2,66,97,97,4,0,13,13,2,0,0,5.538461538,25,0,10,0,0,0,0,0,0
org.elasticsearch.search.facet.terms.TermsFacetBuilder,elasticsearch-v0.19.0,8,46,2,202,2,13,141,202,202,12,0,19,19,0,0.052631579,0,9.736842105,46,0,0,0,0,0,0,0,0
org.elasticsearch.search.facet.terms.TermsFacetProcessor,elasticsearch-v0.19.0,37,12,2,167,1,25,6,167,167,0,0,4,4,0,0.25,0,40.75,12,0,1,0,0,0,0,0,0
org.elasticsearch.search.facet.terms.bytes.InternalByteTermsFacet,elasticsearch-v0.19.0,17,53,2,198,24,46,135,198,195,8,0,23,22,0,0.47826087,0,6.136363636,53,0,16,0,0,0,0,0,0
org.elasticsearch.search.facet.terms.bytes.TermsByteFacetCollector,elasticsearch-v0.19.0,25,21,2,166,1,43,0,166,166,9,0,5,5,0,0.4,0,17.4,21,0,1,0,0,0,0,0,0
